repo_name,tool,gen_elapsed_sec,ntia_score,grade,num_of_component
java-spring-boot-boilerplate-mewebstudio,cdxgen,32.458,8.6,B,115
expense-tracker-haricazorla,syft,4.624,8.5,B,82
expense-tracker-haricazorla,trivy,0.106,5.7,D,1
expense-tracker-haricazorla,cdxgen,22.967,8.6,B,78
spring-boot-crud-rest-ifaruquehossain,syft,3.174,8.5,B,42
spring-boot-crud-rest-ifaruquehossain,trivy,0.18,5.7,D,1
spring-boot-crud-rest-ifaruquehossain,cdxgen,10.018,8.6,B,39
spring-boot-jpa-xgeekshq,syft,4.05,8.5,B,60
spring-boot-jpa-xgeekshq,trivy,0.118,5.7,D,1
spring-boot-jpa-xgeekshq,cdxgen,15.821,8.6,B,56
java8-springboot-restapi-pallavchanana,syft,2.708,8.5,B,41
java8-springboot-restapi-pallavchanana,trivy,0.107,5.7,D,1
java8-springboot-restapi-pallavchanana,cdxgen,10.495,8.6,B,38
springboot-rest-api-mongodb-alexmarqs,syft,3.614,8.5,B,62
springboot-rest-api-mongodb-alexmarqs,trivy,0.122,5.7,D,1
springboot-rest-api-mongodb-alexmarqs,cdxgen,16.587,8.6,B,57
spring-boot-postgresql-rest-callicoder,syft,3.552,8.5,B,61
spring-boot-postgresql-rest-callicoder,trivy,0.112,5.7,D,1
spring-boot-postgresql-rest-callicoder,cdxgen,17.146,8.6,B,57
ecommerce-manager-lpdecastro,syft,4.722,8.5,B,71
ecommerce-manager-lpdecastro,trivy,0.159,5.7,D,1
ecommerce-manager-lpdecastro,cdxgen,22.366,8.6,B,66
ecommerce-backend-shittu24,syft,3.681,8.5,B,68
ecommerce-backend-shittu24,trivy,0.085,5.7,D,1
ecommerce-backend-shittu24,cdxgen,12.205,8.6,B,65
spring-boot-hello-world-jib-lvthillo,syft,2.886,8.5,B,39
spring-boot-hello-world-jib-lvthillo,trivy,0.126,5.7,D,1
spring-boot-hello-world-jib-lvthillo,cdxgen,6.381,8.6,B,36
spring-boot-hello-world-abhishake63,syft,2.582,8.4,B,33
spring-boot-hello-world-abhishake63,trivy,0.093,5.7,D,1
spring-boot-hello-world-abhishake63,cdxgen,5.733,8.6,B,27
spring-boot-hello-world-mag1309,syft,3.448,8.5,B,64
spring-boot-hello-world-mag1309,trivy,0.112,5.7,D,1
spring-boot-hello-world-mag1309,cdxgen,8.794,8.6,B,60
spring-boot-application-example-alexmanrique,syft,3.691,8.5,B,82
spring-boot-application-example-alexmanrique,trivy,0.103,5.7,D,1
spring-boot-application-example-alexmanrique,cdxgen,19.696,8.6,B,79
spring-boot-crud-rest-ifaruquehossain,syft,2.704,8.5,B,42
spring-boot-crud-rest-ifaruquehossain,trivy,0.118,5.7,D,1
spring-boot-crud-rest-ifaruquehossain,cdxgen,9.114,8.6,B,39
hello-spring-bugbiteme,syft,3.422,8.5,B,52
hello-spring-bugbiteme,trivy,0.101,5.7,D,1
hello-spring-bugbiteme,cdxgen,8.874,8.6,B,49
jarvis-springboot-demo-app-jarviscanada,syft,4.52,8.5,B,41
jarvis-springboot-demo-app-jarviscanada,trivy,0.147,5.7,D,1
jarvis-springboot-demo-app-jarviscanada,cdxgen,14.449,8.6,B,38
playspringboot-markreha,syft,3.358,8.5,B,63
playspringboot-markreha,trivy,0.103,5.7,D,1
playspringboot-markreha,cdxgen,16.694,8.6,B,60
spring-boot-lambda-gemerick,syft,2.781,8.4,B,34
spring-boot-lambda-gemerick,trivy,0.122,5.7,D,1
spring-boot-lambda-gemerick,cdxgen,8.877,8.6,B,31
