Name of project,Status,Risk Score,Total Vuln,Vuln (Critical),Vuln (High),Vuln (Medium),Vuln (Low),Vuln (Unassign)
src.python.locust.cdxgen,ok,,,,,,,
src.python.locust.syft,ok,,,,,,,
src.python.locust.trivy,ok,,,,,,,
src.python.mitmproxy.cdxgen,ok,,,,,,,
src.python.mitmproxy.syft,ok,,,,,,,
src.python.mitmproxy.trivy,ok,,,,,,,
src.python.pipenv.cdxgen,ok,,,,,,,
src.python.pipenv.syft,ok,,,,,,,
src.python.pipenv.trivy,ok,,,,,,,
src.python.pytest.cdxgen,ok,,,,,,,
src.python.pytest.syft,ok,,,,,,,
src.python.pytest.trivy,ok,,,,,,,
src.python.sqlmodel.cdxgen,ok,,,,,,,
src.python.sqlmodel.syft,ok,,,,,,,
src.python.sqlmodel.trivy,ok,,,,,,,
src.python.yt-dlp.cdxgen,ok,,,,,,,
src.python.yt-dlp.syft,ok,,,,,,,
src.python.yt-dlp.trivy,ok,,,,,,,
image.arey__springboot-petclinic_latest.cdxgen,ok,,,,,,,
image.arey__springboot-petclinic_latest.syft,fail,,,,,,,
image.arey__springboot-petclinic_latest.trivy,ok,,,,,,,
image.dependencytrack__apiserver_latest.cdxgen,ok,,,,,,,
image.dependencytrack__apiserver_latest.syft,ok,,,,,,,
image.dependencytrack__apiserver_latest.trivy,ok,,,,,,,
image.dependencytrack__frontend_latest.cdxgen,ok,,,,,,,
image.dependencytrack__frontend_latest.syft,ok,,,,,,,
image.dependencytrack__frontend_latest.trivy,ok,,,,,,,
image.docker__example-voting-app-worker_latest.cdxgen,ok,,,,,,,
image.docker__example-voting-app-worker_latest.syft,ok,,,,,,,
image.docker__example-voting-app-worker_latest.trivy,ok,,,,,,,
image.ghcr.io__guacsec__guac_v1.0.1.cdxgen,ok,,,,,,,
image.ghcr.io__guacsec__guac_v1.0.1.syft,ok,,,,,,,
image.ghcr.io__guacsec__guac_v1.0.1.trivy,ok,,,,,,,
image.ghost_5-alpine.cdxgen,ok,,,,,,,
image.ghost_5-alpine.syft,ok,,,,,,,
image.ghost_5-alpine.trivy,ok,,,,,,,
image.jenkins__jenkins_lts-jdk17.cdxgen,ok,,,,,,,
image.jenkins__jenkins_lts-jdk17.syft,ok,,,,,,,
image.jenkins__jenkins_lts-jdk17.trivy,ok,,,,,,,
image.juli1__flask-chat_latest.cdxgen,ok,,,,,,,
image.juli1__flask-chat_latest.syft,ok,,,,,,,
image.juli1__flask-chat_latest.trivy,ok,,,,,,,
image.netboxcommunity__netbox_v3.7-2.8.0.cdxgen,ok,,,,,,,
