Name of project,Status,Risk Score,Total Vuln,Vuln (Critical),Vuln (High),Vuln (Medium),Vuln (Low),Vuln (Unassign)
src.nodejs.node-express-sequelize-boilerplate.syft,unknown,,,,,,,
src.nodejs.node-express-sequelize-boilerplate.trivy,unknown,,,,,,,
src.nodejs.node-express-sequelize-mysql-api.cdxgen,unknown,,,,,,,
src.nodejs.node-express-sequelize-mysql-api.syft,unknown,,,,,,,
src.nodejs.node-express-sequelize-mysql-api.trivy,unknown,,,,,,,
src.nodejs.node-express-typeorm-boilerplate.cdxgen,unknown,,,,,,,
src.nodejs.node-express-typeorm-boilerplate.syft,unknown,,,,,,,
src.nodejs.node-express-typeorm-boilerplate.trivy,unknown,,,,,,,
src.nodejs.node-prisma-starter.cdxgen,unknown,,,,,,,
src.nodejs.node-prisma-starter.syft,unknown,,,,,,,
src.nodejs.node-prisma-starter.trivy,unknown,,,,,,,
src.nodejs.node-telegram-bot-api.cdxgen,unknown,,,,,,,
src.nodejs.node-telegram-bot-api.syft,unknown,,,,,,,
src.nodejs.node-telegram-bot-api.trivy,unknown,,,,,,,
src.nodejs.nodejs-ecommerce-api.cdxgen,unknown,,,,,,,
src.nodejs.nodejs-ecommerce-api.syft,unknown,,,,,,,
src.nodejs.nodejs-ecommerce-api.trivy,unknown,,,,,,,
src.nodejs.nodejs-express-boilerplate-bitDaft.cdxgen,unknown,,,,,,,
src.nodejs.nodejs-express-boilerplate-bitDaft.syft,unknown,,,,,,,
src.nodejs.nodejs-express-boilerplate-bitDaft.trivy,unknown,,,,,,,
src.nodejs.nodejs-express-mongodb-rest-api-boilerplate.cdxgen,unknown,,,,,,,
src.nodejs.nodejs-express-mongodb-rest-api-boilerplate.syft,unknown,,,,,,,
src.nodejs.nodejs-express-mongodb-rest-api-boilerplate.trivy,unknown,,,,,,,
src.nodejs.nodejs-real-world-example-app.cdxgen,unknown,,,,,,,
src.nodejs.nodejs-real-world-example-app.syft,unknown,,,,,,,
src.nodejs.nodejs-real-world-example-app.trivy,unknown,,,,,,,
src.nodejs.nuxt-commerce-baroshem.cdxgen,unknown,,,,,,,
src.nodejs.nuxt-commerce-baroshem.syft,unknown,,,,,,,
src.nodejs.nuxt-commerce-baroshem.trivy,unknown,,,,,,,
src.nodejs.nuxt-ecommerce-kasopej.cdxgen,unknown,,,,,,,
src.nodejs.nuxt-ecommerce-kasopej.syft,unknown,,,,,,,
src.nodejs.nuxt-ecommerce-kasopej.trivy,unknown,,,,,,,
src.nodejs.nuxt.cdxgen,unknown,,,,,,,
src.nodejs.nuxt.syft,unknown,,,,,,,
src.nodejs.nuxt.trivy,unknown,,,,,,,
src.nodejs.nuxtcommerce.cdxgen,unknown,,,,,,,
src.nodejs.nuxtcommerce.syft,unknown,,,,,,,
src.nodejs.nuxtcommerce.trivy,unknown,,,,,,,
src.nodejs.prisma.cdxgen,unknown,,,,,,,
src.nodejs.prisma.syft,unknown,,,,,,,
src.nodejs.prisma.trivy,unknown,,,,,,,
src.nodejs.real-world-tourism-api.cdxgen,unknown,,,,,,,
src.nodejs.real-world-tourism-api.syft,unknown,,,,,,,
src.nodejs.real-world-tourism-api.trivy,unknown,,,,,,,
src.nodejs.realworld-nodejs-example-app.cdxgen,unknown,,,,,,,
src.nodejs.realworld-nodejs-example-app.syft,unknown,,,,,,,
src.nodejs.realworld-nodejs-example-app.trivy,unknown,,,,,,,
src.nodejs.remix-intentui-starter.cdxgen,unknown,,,,,,,
src.nodejs.remix-intentui-starter.syft,unknown,,,,,,,
src.nodejs.remix-intentui-starter.trivy,unknown,,,,,,,
src.nodejs.remix-react-native-web-starter.cdxgen,unknown,,,,,,,
src.nodejs.remix-react-native-web-starter.syft,unknown,,,,,,,
src.nodejs.remix-react-native-web-starter.trivy,unknown,,,,,,,
src.nodejs.remix-starter-chiangs.cdxgen,unknown,,,,,,,
src.nodejs.remix-starter-chiangs.syft,unknown,,,,,,,
src.nodejs.remix-starter-chiangs.trivy,unknown,,,,,,,
src.nodejs.remix.cdxgen,unknown,,,,,,,
src.nodejs.remix.syft,unknown,,,,,,,
src.nodejs.remix.trivy,unknown,,,,,,,
src.nodejs.sequelize.cdxgen,unknown,,,,,,,
src.nodejs.sequelize.syft,unknown,,,,,,,
src.nodejs.sequelize.trivy,unknown,,,,,,,
src.nodejs.strapi-blog-sanchezd90.cdxgen,unknown,,,,,,,
src.nodejs.strapi-blog-sanchezd90.syft,unknown,,,,,,,
src.nodejs.strapi-blog-sanchezd90.trivy,unknown,,,,,,,
src.nodejs.strapi-nuxt-ecommerce.cdxgen,unknown,,,,,,,
src.nodejs.strapi-nuxt-ecommerce.syft,unknown,,,,,,,
src.nodejs.strapi-nuxt-ecommerce.trivy,unknown,,,,,,,
src.nodejs.strapi.cdxgen,unknown,,,,,,,
src.nodejs.strapi.syft,unknown,,,,,,,
src.nodejs.strapi.trivy,unknown,,,,,,,
src.nodejs.supabase-nuxt-ecommerce.cdxgen,unknown,,,,,,,
src.nodejs.supabase-nuxt-ecommerce.syft,unknown,,,,,,,
src.nodejs.supabase-nuxt-ecommerce.trivy,unknown,,,,,,,
src.nodejs.typeorm.cdxgen,unknown,,,,,,,
src.nodejs.typeorm.syft,unknown,,,,,,,
src.nodejs.typeorm.trivy,unknown,,,,,,,
src.python.ArchiveBox.syft,unknown,,,,,,,
src.python.ArchiveBox.trivy,unknown,,,,,,,
src.python.CTFd.cdxgen,unknown,,,,,,,
src.python.CTFd.syft,unknown,,,,,,,
src.python.CTFd.trivy,unknown,,,,,,,
src.python.Django-FBV-TodoApp.cdxgen,unknown,,,,,,,
src.python.Django-FBV-TodoApp.syft,unknown,,,,,,,
src.python.Django-FBV-TodoApp.trivy,unknown,,,,,,,
src.python.DjangoBlog.cdxgen,unknown,,,,,,,
src.python.DjangoBlog.syft,unknown,,,,,,,
src.python.DjangoBlog.trivy,unknown,,,,,,,
src.python.Ecommerce-Website-Using-Python-Flask.cdxgen,unknown,,,,,,,
src.python.Ecommerce-Website-Using-Python-Flask.syft,unknown,,,,,,,
src.python.Ecommerce-Website-Using-Python-Flask.trivy,unknown,,,,,,,
src.python.Flask-E-commerce.cdxgen,unknown,,,,,,,
src.python.Flask-E-commerce.syft,unknown,,,,,,,
src.python.Flask-E-commerce.trivy,unknown,,,,,,,
src.python.Flask-O-shop.cdxgen,unknown,,,,,,,
src.python.Flask-O-shop.syft,unknown,,,,,,,
src.python.Flask-O-shop.trivy,unknown,,,,,,,
src.python.Flask-TODO-APP.cdxgen,unknown,,,,,,,
src.python.Flask-TODO-APP.syft,unknown,,,,,,,
src.python.Flask-TODO-APP.trivy,unknown,,,,,,,
src.python.Flask-Todo-List.cdxgen,unknown,,,,,,,
src.python.Flask-Todo-List.syft,unknown,,,,,,,
src.python.Flask-Todo-List.trivy,unknown,,,,,,,
src.python.Multi-Authors-advanced-Django-Blog.cdxgen,unknown,,,,,,,
src.python.Multi-Authors-advanced-Django-Blog.syft,unknown,,,,,,,
src.python.Multi-Authors-advanced-Django-Blog.trivy,unknown,,,,,,,
src.python.Python-Django-Blog-Website.cdxgen,unknown,,,,,,,
src.python.Python-Django-Blog-Website.syft,unknown,,,,,,,
src.python.Python-Django-Blog-Website.trivy,unknown,,,,,,,
src.python.Tautulli.cdxgen,unknown,,,,,,,
src.python.Tautulli.syft,unknown,,,,,,,
src.python.Tautulli.trivy,unknown,,,,,,,
src.python.basic-python-rest-api.cdxgen,unknown,,,,,,,
src.python.basic-python-rest-api.syft,unknown,,,,,,,
src.python.basic-python-rest-api.trivy,unknown,,,,,,,
src.python.beets.cdxgen,unknown,,,,,,,
src.python.beets.syft,unknown,,,,,,,
src.python.beets.trivy,unknown,,,,,,,
src.python.black.cdxgen,unknown,,,,,,,
src.python.black.syft,unknown,,,,,,,
src.python.black.trivy,unknown,,,,,,,
src.python.bookwyrm.cdxgen,unknown,,,,,,,
src.python.bookwyrm.syft,unknown,,,,,,,
src.python.bookwyrm.trivy,unknown,,,,,,,
src.python.ckan.cdxgen,unknown,,,,,,,
src.python.ckan.syft,unknown,,,,,,,
src.python.ckan.trivy,unknown,,,,,,,
src.python.cookiecutter.cdxgen,unknown,,,,,,,
src.python.cookiecutter.syft,unknown,,,,,,,
src.python.cookiecutter.trivy,unknown,,,,,,,
src.python.deluge.cdxgen,unknown,,,,,,,
src.python.deluge.syft,unknown,,,,,,,
src.python.deluge.trivy,unknown,,,,,,,
src.python.django-DefectDojo.cdxgen,unknown,,,,,,,
src.python.django-DefectDojo.syft,unknown,,,,,,,
src.python.django-DefectDojo.trivy,unknown,,,,,,,
src.python.django-blog.cdxgen,unknown,,,,,,,
src.python.django-blog.syft,unknown,,,,,,,
src.python.django-blog.trivy,unknown,,,,,,,
src.python.django-rest-framework.cdxgen,unknown,,,,,,,
src.python.django-rest-framework.syft,unknown,,,,,,,
src.python.django-rest-framework.trivy,unknown,,,,,,,
src.python.django-todo.cdxgen,unknown,,,,,,,
src.python.django-todo.syft,unknown,,,,,,,
src.python.django-todo.trivy,unknown,,,,,,,
src.python.fastapi-bigger-application.cdxgen,unknown,,,,,,,
src.python.fastapi-bigger-application.syft,unknown,,,,,,,
src.python.fastapi-bigger-application.trivy,unknown,,,,,,,
src.python.fastapi-example.cdxgen,unknown,,,,,,,
src.python.fastapi-example.syft,unknown,,,,,,,
src.python.fastapi-example.trivy,unknown,,,,,,,
src.python.fastapi-realworld-example-app.cdxgen,unknown,,,,,,,
src.python.fastapi-realworld-example-app.syft,unknown,,,,,,,
src.python.fastapi-realworld-example-app.trivy,unknown,,,,,,,
src.python.fastapi-starter-boilerplate.cdxgen,unknown,,,,,,,
src.python.fastapi-starter-boilerplate.syft,unknown,,,,,,,
src.python.fastapi-starter-boilerplate.trivy,unknown,,,,,,,
src.python.fastapi-starter-template.cdxgen,unknown,,,,,,,
src.python.fastapi-starter-template.syft,unknown,,,,,,,
src.python.fastapi-starter-template.trivy,unknown,,,,,,,
src.python.fastapi.cdxgen,unknown,,,,,,,
src.python.fastapi.syft,unknown,,,,,,,
src.python.fastapi.trivy,unknown,,,,,,,
src.python.flask-htmx-todolist.cdxgen,unknown,,,,,,,
src.python.flask-htmx-todolist.syft,unknown,,,,,,,
src.python.flask-htmx-todolist.trivy,unknown,,,,,,,
src.python.flask-realworld-example-app.cdxgen,unknown,,,,,,,
src.python.flask-realworld-example-app.syft,unknown,,,,,,,
src.python.flask-realworld-example-app.trivy,unknown,,,,,,,
src.python.flask-shop.cdxgen,unknown,,,,,,,
src.python.flask-shop.syft,unknown,,,,,,,
src.python.flask-shop.trivy,unknown,,,,,,,
src.python.flask-todo.cdxgen,unknown,,,,,,,
src.python.flask-todo.syft,unknown,,,,,,,
src.python.flask-todo.trivy,unknown,,,,,,,
src.python.flaskbb.cdxgen,unknown,,,,,,,
src.python.flaskbb.syft,unknown,,,,,,,
src.python.flaskbb.trivy,unknown,,,,,,,
src.python.full-stack-fastapi-template.cdxgen,unknown,,,,,,,
src.python.full-stack-fastapi-template.syft,unknown,,,,,,,
src.python.full-stack-fastapi-template.trivy,unknown,,,,,,,
src.python.gpodder.cdxgen,unknown,,,,,,,
src.python.gpodder.syft,unknown,,,,,,,
src.python.gpodder.trivy,unknown,,,,,,,
src.python.healthchecks.cdxgen,unknown,,,,,,,
src.python.healthchecks.syft,unknown,,,,,,,
src.python.healthchecks.trivy,unknown,,,,,,,
src.python.httpie.cdxgen,unknown,,,,,,,
src.python.httpie.syft,unknown,,,,,,,
src.python.httpie.trivy,unknown,,,,,,,
src.python.locust.cdxgen,unknown,,,,,,,
src.python.locust.syft,unknown,,,,,,,
src.python.locust.trivy,unknown,,,,,,,
src.python.mealie.cdxgen,unknown,,,,,,,
src.python.mealie.syft,unknown,,,,,,,
src.python.mealie.trivy,unknown,,,,,,,
src.python.mitmproxy.cdxgen,unknown,,,,,,,
src.python.mitmproxy.syft,unknown,,,,,,,
src.python.mitmproxy.trivy,unknown,,,,,,,
src.python.pi-hole.cdxgen,unknown,,,,,,,
src.python.pi-hole.syft,unknown,,,,,,,
src.python.pi-hole.trivy,unknown,,,,,,,
src.python.pipenv.cdxgen,unknown,,,,,,,
src.python.pipenv.syft,unknown,,,,,,,
src.python.pipenv.trivy,unknown,,,,,,,
src.python.pyload.cdxgen,unknown,,,,,,,
src.python.pyload.syft,unknown,,,,,,,
src.python.pyload.trivy,unknown,,,,,,,
src.python.pytest.cdxgen,unknown,,,,,,,
src.python.pytest.syft,unknown,,,,,,,
src.python.pytest.trivy,unknown,,,,,,,
src.python.python-samples-fastapi-restful.cdxgen,unknown,,,,,,,
src.python.python-samples-fastapi-restful.syft,unknown,,,,,,,
src.python.python-samples-fastapi-restful.trivy,unknown,,,,,,,
src.python.python-simple-rest-api.cdxgen,unknown,,,,,,,
src.python.python-simple-rest-api.syft,unknown,,,,,,,
src.python.python-simple-rest-api.trivy,unknown,,,,,,,
src.python.qutebrowser.cdxgen,unknown,,,,,,,
src.python.qutebrowser.syft,unknown,,,,,,,
src.python.qutebrowser.trivy,unknown,,,,,,,
src.python.rest-api-example-python.cdxgen,unknown,,,,,,,
src.python.rest-api-example-python.syft,unknown,,,,,,,
src.python.rest-api-example-python.trivy,unknown,,,,,,,
src.python.sabnzbd.cdxgen,unknown,,,,,,,
src.python.sabnzbd.syft,unknown,,,,,,,
src.python.sabnzbd.trivy,unknown,,,,,,,
src.python.sample-python-api.cdxgen,unknown,,,,,,,
src.python.sample-python-api.syft,unknown,,,,,,,
src.python.sample-python-api.trivy,unknown,,,,,,,
src.python.searxng.cdxgen,unknown,,,,,,,
src.python.searxng.syft,unknown,,,,,,,
src.python.searxng.trivy,unknown,,,,,,,
src.python.speedtest-cli.cdxgen,unknown,,,,,,,
src.python.speedtest-cli.syft,unknown,,,,,,,
src.python.speedtest-cli.trivy,unknown,,,,,,,
src.python.sqlmodel.cdxgen,unknown,,,,,,,
src.python.sqlmodel.syft,unknown,,,,,,,
src.python.sqlmodel.trivy,unknown,,,,,,,
src.python.streamlink.cdxgen,unknown,,,,,,,
src.python.streamlink.syft,unknown,,,,,,,
src.python.streamlink.trivy,unknown,,,,,,,
src.python.syncserver.cdxgen,unknown,,,,,,,
src.python.syncserver.syft,unknown,,,,,,,
src.python.syncserver.trivy,unknown,,,,,,,
src.python.todo-app-flask-reactjs.cdxgen,unknown,,,,,,,
src.python.todo-app-flask-reactjs.syft,unknown,,,,,,,
src.python.todo-app-flask-reactjs.trivy,unknown,,,,,,,
src.python.todo-app.cdxgen,unknown,,,,,,,
src.python.todo-app.syft,unknown,,,,,,,
src.python.todo-app.trivy,unknown,,,,,,,
src.python.uv-fastapi-example.cdxgen,unknown,,,,,,,
src.python.uv-fastapi-example.syft,unknown,,,,,,,
src.python.uv-fastapi-example.trivy,unknown,,,,,,,
src.python.you-get.cdxgen,unknown,,,,,,,
src.python.you-get.syft,unknown,,,,,,,
src.python.you-get.trivy,unknown,,,,,,,
src.python.yt-dlp.cdxgen,unknown,,,,,,,
src.python.yt-dlp.syft,unknown,,,,,,,
src.python.yt-dlp.trivy,unknown,,,,,,,
binary.cloud-spring-boot-sample-sap.cdxgen,unknown,,,,,,,
binary.cloud-spring-boot-sample-sap.syft,unknown,,,,,,,
binary.cloud-spring-boot-sample-sap.trivy,unknown,,,,,,,
binary.dokku-boot-demo-kabisa.cdxgen,unknown,,,,,,,
binary.dokku-boot-demo-kabisa.syft,unknown,,,,,,,
binary.dokku-boot-demo-kabisa.trivy,unknown,,,,,,,
binary.ecommerce-backend-shittu24.cdxgen,unknown,,,,,,,
binary.ecommerce-backend-shittu24.syft,unknown,,,,,,,
binary.ecommerce-backend-shittu24.trivy,unknown,,,,,,,
binary.ecommerce-demo-diffblue.cdxgen,unknown,,,,,,,
binary.ecommerce-demo-diffblue.syft,unknown,,,,,,,
binary.ecommerce-demo-diffblue.trivy,unknown,,,,,,,
binary.ecommerce-manager-lpdecastro.cdxgen,unknown,,,,,,,
binary.ecommerce-manager-lpdecastro.syft,unknown,,,,,,,
binary.ecommerce-manager-lpdecastro.trivy,unknown,,,,,,,
binary.ecommerce-spring-boot-eherozhao.cdxgen,unknown,,,,,,,
binary.ecommerce-spring-boot-eherozhao.syft,unknown,,,,,,,
binary.ecommerce-spring-boot-eherozhao.trivy,unknown,,,,,,,
binary.example-springboot-restapi-louwersj.cdxgen,unknown,,,,,,,
binary.example-springboot-restapi-louwersj.syft,unknown,,,,,,,
binary.example-springboot-restapi-louwersj.trivy,unknown,,,,,,,
binary.expense-tracker-application.cdxgen,unknown,,,,,,,
binary.expense-tracker-application.syft,unknown,,,,,,,
binary.expense-tracker-application.trivy,unknown,,,,,,,
binary.expense-tracker-haricazorla.cdxgen,unknown,,,,,,,
binary.expense-tracker-haricazorla.syft,unknown,,,,,,,
binary.expense-tracker-haricazorla.trivy,unknown,,,,,,,
binary.foodfrenzy-secretdev804.cdxgen,unknown,,,,,,,
binary.foodfrenzy-secretdev804.syft,unknown,,,,,,,
binary.foodfrenzy-secretdev804.trivy,unknown,,,,,,,
binary.hello-spring-bugbiteme.cdxgen,unknown,,,,,,,
binary.hello-spring-bugbiteme.syft,unknown,,,,,,,
binary.hello-spring-bugbiteme.trivy,unknown,,,,,,,
binary.hilla-todo-tarekoraby.cdxgen,unknown,,,,,,,
binary.hilla-todo-tarekoraby.syft,unknown,,,,,,,
binary.hilla-todo-tarekoraby.trivy,unknown,,,,,,,
binary.jarvis-springboot-demo-app-jarviscanada.cdxgen,unknown,,,,,,,
binary.jarvis-springboot-demo-app-jarviscanada.syft,unknown,,,,,,,
binary.jarvis-springboot-demo-app-jarviscanada.trivy,unknown,,,,,,,
binary.java-ecommerce-demo-diffblue-cdxgen-artifact.unknown,unknown,,,,,,,
binary.java-ecommerce-demo-diffblue-syft-artifact.unknown,unknown,,,,,,,
binary.java-ecommerce-demo-diffblue-trivy-artifact.unknown,unknown,,,,,,,
binary.java-ecommerce-spring-boot-eherozhao-cdxgen-artifact.unknown,unknown,,,,,,,
binary.java-ecommerce-spring-boot-eherozhao-syft-artifact.unknown,unknown,,,,,,,
binary.java-ecommerce-spring-boot-eherozhao-trivy-artifact.unknown,unknown,,,,,,,
binary.java-expense-tracker-application-cdxgen-artifact.unknown,unknown,,,,,,,
binary.java-expense-tracker-application-syft-artifact.unknown,unknown,,,,,,,
binary.java-expense-tracker-application-trivy-artifact.unknown,unknown,,,,,,,
binary.java-java-spring-boot-secure-todo-app-cdxgen-artifact.unknown,unknown,,,,,,,
binary.java-java-spring-boot-secure-todo-app-syft-artifact.unknown,unknown,,,,,,,
binary.java-java-spring-boot-secure-todo-app-trivy-artifact.unknown,unknown,,,,,,,
binary.java-spring-boot-3-rest-api-example-bezkoder-cdxgen-artifact.unknown,unknown,,,,,,,
binary.java-spring-boot-3-rest-api-example-bezkoder-syft-artifact.unknown,unknown,,,,,,,
binary.java-spring-boot-3-rest-api-example-bezkoder-trivy-artifact.unknown,unknown,,,,,,,
binary.java-spring-boot-3-todo-application-cdxgen-artifact.unknown,unknown,,,,,,,
binary.java-spring-boot-3-todo-application-syft-artifact.unknown,unknown,,,,,,,
binary.java-spring-boot-3-todo-application-trivy-artifact.unknown,unknown,,,,,,,
binary.java-spring-boot-boilerplate-mewebstudio.cdxgen,unknown,,,,,,,
binary.java-spring-boot-boilerplate-mewebstudio.syft,unknown,,,,,,,
binary.java-spring-boot-boilerplate-mewebstudio.trivy,unknown,,,,,,,
binary.java-spring-boot-ecommerce-rest-api-manirdev-cdxgen-artifact.unknown,unknown,,,,,,,
binary.java-spring-boot-ecommerce-rest-api-manirdev-syft-artifact.unknown,unknown,,,,,,,
binary.java-spring-boot-ecommerce-rest-api-manirdev-trivy-artifact.unknown,unknown,,,,,,,
binary.java-spring-boot-file-upload-download-cdxgen-artifact.unknown,unknown,,,,,,,
binary.java-spring-boot-file-upload-download-syft-artifact.unknown,unknown,,,,,,,
binary.java-spring-boot-file-upload-download-trivy-artifact.unknown,unknown,,,,,,,
binary.java-spring-boot-secure-todo-app.cdxgen,unknown,,,,,,,
binary.java-spring-boot-secure-todo-app.syft,unknown,,,,,,,
binary.java-spring-boot-secure-todo-app.trivy,unknown,,,,,,,
binary.java-spring-boot-todoapp-pelinhangisi-cdxgen-artifact.unknown,unknown,,,,,,,
binary.java-spring-boot-todoapp-pelinhangisi-syft-artifact.unknown,unknown,,,,,,,
binary.java-spring-boot-todoapp-pelinhangisi-trivy-artifact.unknown,unknown,,,,,,,
binary.java-springboot-shan5a6.cdxgen,unknown,,,,,,,
binary.java-springboot-shan5a6.syft,unknown,,,,,,,
binary.java-springboot-shan5a6.trivy,unknown,,,,,,,
binary.java-todoapp-springboot-docker-cdxgen-artifact.unknown,unknown,,,,,,,
binary.java-todoapp-springboot-docker-syft-artifact.unknown,unknown,,,,,,,
binary.java-todoapp-springboot-docker-trivy-artifact.unknown,unknown,,,,,,,
binary.java8-springboot-restapi-pallavchanana.cdxgen,unknown,,,,,,,
binary.java8-springboot-restapi-pallavchanana.syft,unknown,,,,,,,
binary.java8-springboot-restapi-pallavchanana.trivy,unknown,,,,,,,
binary.library-management-system-saikat021.cdxgen,unknown,,,,,,,
binary.library-management-system-saikat021.syft,unknown,,,,,,,
binary.library-management-system-saikat021.trivy,unknown,,,,,,,
binary.library-vusalaxndzde.cdxgen,unknown,,,,,,,
binary.library-vusalaxndzde.syft,unknown,,,,,,,
binary.library-vusalaxndzde.trivy,unknown,,,,,,,
binary.librarymanagementsystem-knowledgefactory4u.cdxgen,unknown,,,,,,,
binary.librarymanagementsystem-knowledgefactory4u.syft,unknown,,,,,,,
binary.librarymanagementsystem-knowledgefactory4u.trivy,unknown,,,,,,,
binary.notes-app-mohammadusman.cdxgen,unknown,,,,,,,
binary.notes-app-mohammadusman.syft,unknown,,,,,,,
binary.notes-app-mohammadusman.trivy,unknown,,,,,,,
binary.playspringboot-markreha.cdxgen,unknown,,,,,,,
binary.playspringboot-markreha.syft,unknown,,,,,,,
binary.playspringboot-markreha.trivy,unknown,,,,,,,
binary.rest-api-using-spring-boot-maven-swapatgithub.cdxgen,unknown,,,,,,,
binary.rest-api-using-spring-boot-maven-swapatgithub.syft,unknown,,,,,,,
binary.rest-api-using-spring-boot-maven-swapatgithub.trivy,unknown,,,,,,,
binary.restful-ecommerce-api-springboot3-jbrun0r.cdxgen,unknown,,,,,,,
binary.restful-ecommerce-api-springboot3-jbrun0r.syft,unknown,,,,,,,
binary.restful-ecommerce-api-springboot3-jbrun0r.trivy,unknown,,,,,,,
binary.restfulapi-conlean.cdxgen,unknown,,,,,,,
binary.restfulapi-conlean.syft,unknown,,,,,,,
binary.restfulapi-conlean.trivy,unknown,,,,,,,
binary.spring-boot-3-rest-api-example-bezkoder.cdxgen,unknown,,,,,,,
binary.spring-boot-3-rest-api-example-bezkoder.syft,unknown,,,,,,,
binary.spring-boot-3-rest-api-example-bezkoder.trivy,unknown,,,,,,,
binary.spring-boot-3-todo-application.cdxgen,unknown,,,,,,,
binary.spring-boot-3-todo-application.syft,unknown,,,,,,,
binary.spring-boot-3-todo-application.trivy,unknown,,,,,,,
binary.spring-boot-application-example-alexmanrique.cdxgen,unknown,,,,,,,
binary.spring-boot-application-example-alexmanrique.syft,unknown,,,,,,,
binary.spring-boot-application-example-alexmanrique.trivy,unknown,,,,,,,
binary.spring-boot-crud-rest-ifaruquehossain.cdxgen,unknown,,,,,,,
binary.spring-boot-crud-rest-ifaruquehossain.syft,unknown,,,,,,,
binary.spring-boot-crud-rest-ifaruquehossain.trivy,unknown,,,,,,,
binary.spring-boot-ecommerce-rest-api-manirdev.cdxgen,unknown,,,,,,,
binary.spring-boot-ecommerce-rest-api-manirdev.syft,unknown,,,,,,,
binary.spring-boot-ecommerce-rest-api-manirdev.trivy,unknown,,,,,,,
binary.spring-boot-file-upload-download.cdxgen,unknown,,,,,,,
binary.spring-boot-file-upload-download.syft,unknown,,,,,,,
binary.spring-boot-file-upload-download.trivy,unknown,,,,,,,
binary.spring-boot-hello-world-abhishake63.cdxgen,unknown,,,,,,,
binary.spring-boot-hello-world-abhishake63.syft,unknown,,,,,,,
binary.spring-boot-hello-world-abhishake63.trivy,unknown,,,,,,,
binary.spring-boot-hello-world-jib-lvthillo.cdxgen,unknown,,,,,,,
binary.spring-boot-hello-world-jib-lvthillo.syft,unknown,,,,,,,
binary.spring-boot-hello-world-jib-lvthillo.trivy,unknown,,,,,,,
binary.spring-boot-hello-world-mag1309.cdxgen,unknown,,,,,,,
binary.spring-boot-hello-world-mag1309.syft,unknown,,,,,,,
binary.spring-boot-hello-world-mag1309.trivy,unknown,,,,,,,
binary.spring-boot-jpa-xgeekshq.cdxgen,unknown,,,,,,,
binary.spring-boot-jpa-xgeekshq.syft,unknown,,,,,,,
binary.spring-boot-jpa-xgeekshq.trivy,unknown,,,,,,,
binary.spring-boot-lambda-gemerick.cdxgen,unknown,,,,,,,
binary.spring-boot-lambda-gemerick.syft,unknown,,,,,,,
binary.spring-boot-lambda-gemerick.trivy,unknown,,,,,,,
binary.spring-boot-mysql-rest-api-callicoder.cdxgen,unknown,,,,,,,
binary.spring-boot-mysql-rest-api-callicoder.syft,unknown,,,,,,,
binary.spring-boot-mysql-rest-api-callicoder.trivy,unknown,,,,,,,
binary.spring-boot-postgresql-rest-callicoder.cdxgen,unknown,,,,,,,
binary.spring-boot-postgresql-rest-callicoder.syft,unknown,,,,,,,
binary.spring-boot-postgresql-rest-callicoder.trivy,unknown,,,,,,,
binary.spring-boot-rest-api-odemur.cdxgen,unknown,,,,,,,
binary.spring-boot-rest-api-odemur.syft,unknown,,,,,,,
binary.spring-boot-rest-api-odemur.trivy,unknown,,,,,,,
binary.spring-boot-spring-loaded-java8-example-joakim666.cdxgen,unknown,,,,,,,
binary.spring-boot-spring-loaded-java8-example-joakim666.syft,unknown,,,,,,,
binary.spring-boot-spring-loaded-java8-example-joakim666.trivy,unknown,,,,,,,
binary.spring-boot-todo-crud-davidarchanjo.cdxgen,unknown,,,,,,,
binary.spring-boot-todo-crud-davidarchanjo.syft,unknown,,,,,,,
binary.spring-boot-todo-crud-davidarchanjo.trivy,unknown,,,,,,,
binary.spring-boot-todo-jazzybruno.cdxgen,unknown,,,,,,,
binary.spring-boot-todo-jazzybruno.syft,unknown,,,,,,,
binary.spring-boot-todo-jazzybruno.trivy,unknown,,,,,,,
binary.spring-boot-todoapp-pelinhangisi.cdxgen,unknown,,,,,,,
binary.spring-boot-todoapp-pelinhangisi.syft,unknown,,,,,,,
binary.spring-boot-todoapp-pelinhangisi.trivy,unknown,,,,,,,
binary.springboot-library-management-franciscogaleana.cdxgen,unknown,,,,,,,
binary.springboot-library-management-franciscogaleana.syft,unknown,,,,,,,
binary.springboot-library-management-franciscogaleana.trivy,unknown,,,,,,,
binary.springboot-notes-app-emwork.cdxgen,unknown,,,,,,,
binary.springboot-notes-app-emwork.syft,unknown,,,,,,,
binary.springboot-notes-app-emwork.trivy,unknown,,,,,,,
binary.springboot-rest-api-mongodb-alexmarqs.cdxgen,unknown,,,,,,,
binary.springboot-rest-api-mongodb-alexmarqs.syft,unknown,,,,,,,
binary.springboot-rest-api-mongodb-alexmarqs.trivy,unknown,,,,,,,
binary.springboot-sample-app-codecentric.cdxgen,unknown,,,,,,,
binary.springboot-sample-app-codecentric.syft,unknown,,,,,,,
binary.springboot-sample-app-codecentric.trivy,unknown,,,,,,,
binary.springboot-todolist-macktireh.cdxgen,unknown,,,,,,,
binary.springboot-todolist-macktireh.syft,unknown,,,,,,,
binary.springboot-todolist-macktireh.trivy,unknown,,,,,,,
binary.tasks-springboot-anantsingh1510.cdxgen,unknown,,,,,,,
binary.tasks-springboot-anantsingh1510.syft,unknown,,,,,,,
