Name of project,Status,Risk Score,Total Vuln,Vuln (Critical),Vuln (High),Vuln (Medium),Vuln (Low),Vuln (Unassign)
image.netboxcommunity__netbox_v3.7-2.8.0.trivy,ok,490.0,116,10,27,48,11,20
image.nextcloud_29-apache.cdxgen,fail,,,,,,,
image.nextcloud_29-apache.syft,ok,941.0,219,16,69,75,21,38
image.nextcloud_29-apache.trivy,ok,1837.0,475,36,114,269,45,11
image.nginx_1.27-alpine.cdxgen,ok,175.0,38,5,16,10,5,2
image.nginx_1.27-alpine.syft,ok,145.0,31,4,15,7,4,1
image.nginx_1.27-alpine.trivy,ok,150.0,31,5,14,7,4,1
image.nginxdemos__hello_latest.cdxgen,ok,107.0,24,3,10,6,4,1
image.nginxdemos__hello_latest.syft,ok,99.0,22,3,9,5,4,1
image.nginxdemos__hello_latest.trivy,ok,91.0,20,3,8,4,4,1
image.nginxinc__nginx-unprivileged_stable-alpine.cdxgen,ok,79.0,19,2,6,7,3,1
image.nginxinc__nginx-unprivileged_stable-alpine.syft,ok,59.0,14,1,7,4,2,0
image.nginxinc__nginx-unprivileged_stable-alpine.trivy,ok,59.0,13,2,5,4,2,0
image.node_20-slim.cdxgen,ok,703.0,156,11,73,56,5,11
image.node_20-slim.syft,ok,45.0,12,1,3,6,2,0
image.node_20-slim.trivy,ok,417.0,89,8,49,30,2,0
image.node_22-alpine.cdxgen,ok,364.0,76,6,47,23,0,0
image.node_22-alpine.syft,ok,10.0,2,0,2,0,0,0
image.node_22-alpine.trivy,ok,364.0,76,6,47,23,0,0
image.omar0unir__unir-images_app-nodejs-example.cdxgen,ok,54931.0,13714,349,3473,7276,208,2408
image.omar0unir__unir-images_app-nodejs-example.syft,ok,,,,,,,
image.omar0unir__unir-images_app-nodejs-example.trivy,ok,7093.0,1596,137,515,652,67,225
image.openjdk_17-jdk-slim.syft,fail,,,,,,,
image.piomin__sample-spring-boot-app-k8s_latest.cdxgen,ok,92.0,25,1,7,15,2,0
