repo_name,tool,gen_elapsed_sec,ntia_score,grade,num_of_component
Python-Django-Blog-Website,syft,1.854,7.8,C,7
Python-Django-Blog-Website,trivy,0.38,5.7,D,1
Python-Django-Blog-Website,cdxgen,4.393,8.6,B,13
DjangoBlog,syft,1.811,8.3,B,20
DjangoBlog,trivy,0.149,8.3,B,20
DjangoBlog,cdxgen,9.116,8.6,B,21
flask-realworld-example-app,syft,2.374,8.4,B,34
flask-realworld-example-app,trivy,0.105,8.4,B,34
flask-realworld-example-app,cdxgen,2.071,8.6,B,46
full-stack-fastapi-template,syft,2.543,8.4,B,324
full-stack-fastapi-template,trivy,0.222,8.5,B,260
full-stack-fastapi-template,cdxgen,3.76,8.6,B,523
Flask-O-shop,syft,3.504,8.4,B,63
Flask-O-shop,trivy,0.128,8.4,B,63
Flask-O-shop,cdxgen,2.399,8.6,B,31
fastapi-starter-template,syft,2.829,8.4,B,40
fastapi-starter-template,trivy,0.128,8.2,B,16
fastapi-starter-template,cdxgen,1.81,6.3,D,207
Ecommerce-Website-Using-Python-Flask,syft,2.102,8.2,B,15
Ecommerce-Website-Using-Python-Flask,trivy,0.296,8.2,B,15
Ecommerce-Website-Using-Python-Flask,cdxgen,47.546,8.6,B,504
flask-shop,syft,1.906,8.4,B,60
flask-shop,trivy,0.193,8.5,B,104
flask-shop,cdxgen,2.65,8.6,B,420
fastapi-starter-boilerplate,syft,2.301,8.5,B,50
fastapi-starter-boilerplate,trivy,0.102,8.5,B,50
fastapi-starter-boilerplate,cdxgen,9.568,8.6,B,49
Flask-E-commerce,syft,1.677,8.4,B,46
Flask-E-commerce,trivy,0.11,8.4,B,46
Flask-E-commerce,cdxgen,14.852,8.6,B,45
