repo_name,tool,gen_elapsed_sec,ntia_score,grade,num_of_component
strapi-nuxt-ecommerce,syft,2.611,8.6,B,1080
strapi-nuxt-ecommerce,trivy,0.182,8.6,B,1058
strapi-nuxt-ecommerce,cdxgen,4.89,8.6,B,1079
nuxtcommerce,syft,2.817,8.6,B,1166
nuxtcommerce,trivy,0.203,8.6,B,1095
nuxtcommerce,cdxgen,6.735,8.6,B,1164
nuxt-commerce-baroshem,syft,2.812,8.6,B,1403
nuxt-commerce-baroshem,trivy,0.189,8.6,B,464
nuxt-commerce-baroshem,cdxgen,7.331,8.6,B,1401
supabase-nuxt-ecommerce,syft,2.429,8.6,B,859
supabase-nuxt-ecommerce,trivy,0.173,8.6,B,858
supabase-nuxt-ecommerce,cdxgen,6.97,8.6,B,1199
nuxt-ecommerce-kasopej,syft,2.207,8.5,B,261
nuxt-ecommerce-kasopej,trivy,0.137,8.5,B,261
nuxt-ecommerce-kasopej,cdxgen,3.248,8.6,B,636
ecommerce-nuxt-template,syft,2.577,8.6,B,1101
ecommerce-nuxt-template,trivy,0.274,8.6,B,1096
ecommerce-nuxt-template,cdxgen,9.873,8.6,B,1535
remix-react-native-web-starter,syft,2.43,8.6,B,835
remix-react-native-web-starter,trivy,0.226,8.5,B,164
remix-react-native-web-starter,cdxgen,3.85,8.6,B,833
remix-intentui-starter,syft,1.812,5.7,D,1
remix-intentui-starter,trivy,0.102,5.7,D,1
remix-intentui-starter,cdxgen,8.014,4.3,F,0
remix-starter-chiangs,syft,2.339,8.6,B,1042
remix-starter-chiangs,trivy,0.179,8.5,B,178
remix-starter-chiangs,cdxgen,3.979,8.6,B,1040
node-express-prisma-realworld,syft,2.386,8.5,B,94
node-express-prisma-realworld,trivy,0.162,8.5,B,92
node-express-prisma-realworld,cdxgen,3.789,8.6,B,621
example-app-node-prisma,syft,2.192,8.1,B,11
example-app-node-prisma,trivy,0.135,8,B,10
example-app-node-prisma,cdxgen,1.719,8.6,B,9
node-prisma-starter,syft,2.461,8.6,B,715
node-prisma-starter,trivy,0.191,8.5,B,191
node-prisma-starter,cdxgen,3.918,8.6,B,714
fullstack-react-node-postgresql,syft,2.263,8.5,B,191
fullstack-react-node-postgresql,trivy,0.318,8.5,B,188
fullstack-react-node-postgresql,cdxgen,3.511,8.6,B,187
mern-blog-app-sradhe545,syft,3.253,8.6,B,1509
mern-blog-app-sradhe545,trivy,0.35,8.6,B,1507
mern-blog-app-sradhe545,cdxgen,9.923,8.6,B,1384
mern-ecommerce-hrutavmodha,syft,5.048,8.6,B,4253
mern-ecommerce-hrutavmodha,trivy,0.675,8.6,B,4188
mern-ecommerce-hrutavmodha,cdxgen,9.067,8.6,B,1419
blog-app-react-mysql-node,syft,1.697,8.5,B,257
blog-app-react-mysql-node,trivy,0.11,8.5,B,255
blog-app-react-mysql-node,cdxgen,2.677,8.6,B,499
node-telegram-bot-api,syft,2.374,5.7,D,1
node-telegram-bot-api,trivy,0.175,5.7,D,1
node-telegram-bot-api,cdxgen,46.578,8.6,B,627
